star,id,Teff,σTeff,logg,σlogg,FeH,σFeH,Reference,Teff_ref,logg_ref,FeH_ref
NGC 2682,1,4700,,2.4,,-0.02,,Jacobson et al. (2011),13,0.03,-0.07
NGC 2682,1,4803,84,2.48,0.04,,0.01,APOGEE DR16,116,0.11,-0.05
NGC 2682,1,4745,57,2.59,0.09,0.04,0.04,Casamiquela et al. (2017) EW,58,0.22,-0.01
NGC 2682,1,4771,13,2.55,0.03,-0.04,0.05,Casamiquela et al. (2017) SS,84,0.18,-0.09
NGC 2682,1,4793,,2.55,,-0.1,,Gao et al. (2018),106,0.18,-0.15
NGC 2682,2,4700,,2.5,,0.04,,Jacobson et al. (2011),-200,-0.26,0.02
NGC 2682,2,4802,84,2.34,0.04,0,0.01,APOGEE DR16,-98,-0.42,-0.02
NGC 2682,2,4762,37,2.53,0.07,0.04,0.04,Casamiquela et al. (2017) EW,-138,-0.23,0.02
NGC 2682,2,4776,13,2.54,0.03,-0.08,0.05,Casamiquela et al. (2017) SS,-124,-0.22,-0.1
NGC 2682,2,4824,,2.62,,-0.08,,Gao et al. (2018),-76,-0.14,-0.1
NGC 2682,3,5000,,2.7,,-0.09,,Jacobson et al. (2011),0,-0.07,-0.06
NGC 2682,3,5056,,2.85,,0.06,0.09,APOGEE DR16,56,0.08,0.09
NGC 2682,3,5067,,2.85,,0.06,0.09,Luck (2015),67,0.08,0.09
NGC 2682,3,5018,71,2.88,0.19,-0.09,0.04,Spina et al. (2021),18,0.11,-0.06
NGC 2682,4,5100,,3,,-0.11,,Jacobson et al. (2011),-95,-0.25,-0.11
NGC 2682,4,5040,92,3.34,0.06,-0.03,0.01,APOGEE DR16,-155,0.09,-0.03
NGC 2682,4,5098,71,3.12,0.26,-0.11,0.04,Spina et al. (2021),-97,-0.13,-0.11
Collinder 350,1,4100,100,1.35,0.23,-0.24,0.01,Casali et al. (2020) FAMA,-100,0.05,0.16
Collinder 350,1,4330,50,1.28,0.24,-0.03,0.07,Casali et al. (2020) ROTFIT,130,-0.02,0.37
Collinder 350,2,5170,110,2.85,0.27,-0.03,0.06,Casali et al. (2020) FAMA,-130,-0.3,-0.05
Collinder 350,2,5070,60,2.99,0.19,-0.02,0.09,Casali et al. (2020) ROTFIT,-230,-0.16,-0.04
Basel 11b,3,4817,86,2.37,0.04,0,0.01,APOGEE DR16,-133,-0.46,0.04
Tombaugh 6,1,4710,,2.1,,0.21,0.05,Baratella et al. (2018),-240,-1.07,0.17
NGC 2548,1,5074,73,2.69,0.19,-0.12,0.05,Spina et al.(2021),-296,-0.98,-0.12
NGC 2548,1,5074,73,2.69,0.19,-0.12,0.05,Spina et al.(2021),-296,-0.98,-0.12
NGC 2548,2,5049,72,2.59,0.1,-0.02,0.04,Spina et al.(2021),-1,-0.06,0
NGC 2548,3,4549,,4.69,,,,Sun et al. (2020),-381,1.99,0.01
NGC 2548,3,4829,72,2.53,0.19,0.03,0.04,Spina et al.(2021),-101,-0.17,0.04
